class,requirement,RequirementText
F,The Disputes System must allow the user to create three unique types of ticket retrieval requests.  The three types of ticket retrieval requests are (1) Request for original receipt (2) Request for a copy of the receipt or (3) Request for a portfolio. A portfolio consists of documentation that would provide proof of a purchase such as the documentation that is received from a car rental agency that is more than a sales receipt.,dispute system must allow user create three unique type ticket retrieval request three type ticket retrieval request request original receipt request copy receipt request portfolio portfolio consists documentation would provide proof purchase documentation received car rental agency sale receipt
F,The Disputes System must prevent external users from requesting original receipts. Requests for original receipts are restricted to internal users.,dispute system must prevent external user requesting original receipt request original receipt restricted internal user
F, The Disputes System must provide a confirmation to the user upon the creation of ticket retrieval request that contains the following information; the dispute case number  the type of retrieval requested (copy  original or portfolio)  and the date that the merchant response is due.,dispute system must provide confirmation user upon creation ticket retrieval request contains following information dispute case number type retrieval requested copy original portfolio date merchant response due
F,The Disputes System shall allow the user to create or initiate a chargeback request.  The system must prompt the user to enter the required information to initiate a chargeback request. The chargeback request results in a printed chargeback notification that is sent to merchant indicating that their account will be charged back if no proof is provided that the disputed transaction is valid.,dispute system shall allow user create initiate chargeback request system must prompt user enter required information initiate chargeback request chargeback request result printed chargeback notification sent merchant indicating account charged back proof provided disputed transaction valid
F, The Disputes System must provide a confirmation to the user upon the creation of a chargeback request. The confirmation must contain the following information; the dispute case number  the type of chargeback requested (pending or immediate)  and the date that the merchant response is due.,dispute system must provide confirmation user upon creation chargeback request confirmation must contain following information dispute case number type chargeback requested pending immediate date merchant response due
F,The Disputes System shall prevent the creation of duplicate dispute requests 100% of the time.,dispute system shall prevent creation duplicate dispute request time
F, The Disputes System shall accurately provide a list of possible reason codes for a given transaction.  The list of possible reason codes must be derived based on the type of transaction and the industry that the merchant belongs to  according to the business rules defined for the Disputes System.,dispute system shall accurately provide list possible reason code given transaction list possible reason code must derived based type transaction industry merchant belongs according business rule defined dispute system
F,The Disputes System must provide the ability to view existing dispute cases.,dispute system must provide ability view existing dispute case
F, The Disputes System must provide Search functionality.  The search method must include the ability to search by (1) the dispute case number  (2) the merchant account number  (3) the cardmember account number and (4) the issuer number.  In addition to the above criteria  the search functionality must further allow the user to limit the results of the search by a date range  the type of dispute (ticket retrieval request or chargeback notification)  the case status (open  closed or all) and the dispute reason code.,dispute system must provide search functionality search method must include ability search dispute case number merchant account number cardmember account number issuer number addition criterion search functionality must allow user limit result search date range type dispute ticket retrieval request chargeback notification case status open closed dispute reason code
F,A list of all disputes cases that meet the entered search criteria must be provided to the user.  The list of cases must differentiate the type and/or status of the case by color -coding the line item in the list.  For example all open cases will be yellow and all closed cases will be gray.,list dispute case meet entered search criterion must provided user list case must differentiate type status case color coding line item list example open case yellow closed case gray
F,The Disputes System shall provide the users the ability to view the history of all activities that have occurred on the dispute case.,dispute system shall provide user ability view history activity occurred dispute case
F,The Dispute System shall provide the users with the ability to follow up on a dispute case via follow-up actions.  The list of available follow up actions for a given dispute case must be filtered by the status of the case and the access level of the user.,dispute system shall provide user ability follow dispute case via follow action list available follow action given dispute case must filtered status case access level user
F, The Disputes System shall record the name of the user and the date for any activity that creates or modifies the disputes case in the system.  A detailed history of the actions taken on the case  including the date and the user that performed the action must be maintained for auditing purposes.,dispute system shall record name user date activity creates modifies dispute case system detailed history action taken case including date user performed action must maintained auditing purpose
F, For any systematic (non-user initiated) action that occurs on a case such as the disputes aging process  a case activity will be generated.  Upon the next logon the user that initiated the dispute case must be notified that a systematic action has occurred on the dispute case.,systematic non user initiated action occurs case dispute aging process case activity generated upon next logon user initiated dispute case must notified systematic action occurred dispute case
F,All letter requests must be formatted according to guidelines specified by the Print Letter Utility system.,letter request must formatted according guideline specified print letter utility system
F,Any disputes cases that have been closed for over 6 months must be purged from the online disputes database.,dispute case closed month must purged online dispute database
O,The product must support Internet Explorer 5.5 and above.,product must support internet explorer
O,The product must support Mozilla Firefox 1.0 and above.,product must support mozilla firefox
O,The product shall interface with the Choice Parts System.  This provides the feed of recycled parts data.,product shall interface choice part system provides feed recycled part data
O,The product shall run on the existing hardware for all environments.,product shall run existing hardware environment
O,The product shall adhere to the corporate Architecture guidelines,product shall adhere corporate architecture guideline
LF,The product shall comply with corporate User Interface Guidelines,product shall comply corporate user interface guideline
LF,The product shall comply with corporate color scheme,product shall comply corporate color scheme
LF,The appearance of the product shall appear professional,appearance product shall appear professional
PO,The software product is expected to run on Windows or Linux platforms.,software product expected run window linux platform
US,The product shall be easy to use by Adjusters and Collision Estimators.  95% of Adjusters and Collision Estimators shall find the product easy to use.,product shall easy use adjuster collision estimator adjuster collision estimator shall find product easy use
US,The product shall increase productivity of Collision Estimators. 80% of the Collision Estimators shall agree their productivity has increase within 1 month of using the product.,product shall increase productivity collision estimator collision estimator shall agree productivity increase within month using product
US,Users shall feel satisfied using the product.  85% of all users will be satisfied with the product.,user shall feel satisfied using product user satisfied product
US,The product shall be easy to learn by Adjusters and Collision Estimators.  The product shall be learned with two days onsite training,product shall easy learn adjuster collision estimator product shall learned two day onsite training
US,The user shall easily locate instructions while using the product.  User help can be found within 90% of the system.,user shall easily locate instruction using product user help found within system
PE,The search for recycled parts shall take no longer than 15 seconds.  The search results shall be returned in under 15 seconds.,search recycled part shall take longer second search result shall returned second
PE,The search for the preferred repair facility shall take no longer than 8 seconds.  The preferred repair facility is returned within 8 seconds,search preferred repair facility shall take longer second preferred repair facility returned within second
PE,The recycled parts audit report shall be returned to the user within 10 seconds.  The audit report shall be returned within 10 seconds.,recycled part audit report shall returned user within second audit report shall returned within second
PE,The preferred repair facility ratings shall be saved within 5 seconds. The save shall occur within 5 seconds.,preferred repair facility rating shall saved within second save shall occur within second
A,The product shall adhere to the corporate online availability schedule.  The application is brought down only within 98% of the scheduled outages per the availability schedule.,product shall adhere corporate online availability schedule application brought within scheduled outage per availability schedule
A,The product shall achieve a 98% uptime. The product shall not fail more than 2% of the available online time.,product shall achieve uptime product shall fail available online time
SC,The product shall be able to handle up to 1500 simultaneous users. The system shall perform with 1500 users as a time.,product shall able handle simultaneous user system shall perform user time
SC, The average number of recycled parts records per day shall be 50 000.,average number recycled part record per day shall
SC, The product shall be able to handle 10 000 concurrent users within 2 years of the initial launch.,product shall able handle concurrent user within year initial launch
O, For estimators  the product shall be able to be operated in a repair facility during dirty and noisy conditions.,estimator product shall able operated repair facility dirty noisy condition
O,The product shall interface with the ChoiceParts system once per day at approximately 1:00 AM.,product shall interface choiceparts system per day approximately
O,The maintenance of the product will fall within the established corporate maintenance windows.,maintenance product fall within established corporate maintenance window
O,The product shall be supported using the corporate support center.,product shall supported using corporate support center
O,Product installations and upgrades shall be handled by the middleware technology team within established launch time frames.,product installation upgrade shall handled middleware technology team within established launch time frame
SE,Only adjusters can request recycled parts audit reports. No users without an adjuster role shall request recycled parts audits.,adjuster request recycled part audit report user without adjuster role shall request recycled part audit
SE,Only adjusters with a supervisor role can update preferred repair facility ratings. Users without the supervisor role cannot access the repair facility ratings.,adjuster supervisor role update preferred repair facility rating user without supervisor role cannot access repair facility rating
SE,Only collision estimators shall search for recycled parts.  Users without the collision estimator role shall not have access to the search for recycled parts.,collision estimator shall search recycled part user without collision estimator role shall access search recycled part
SE,Only valid data shall be entered into the system.  No invalid data shall be entered into the system.,valid data shall entered system invalid data shall entered system
SE,One insurance company shall not be able to view another insurance companys claim data.,one insurance company shall able view another insurance company claim data
SE,The product shall free of computer viruses.,product shall free computer virus
SE,The system shall prevent malicious attacks including denial of service.,system shall prevent malicious attack including denial service
L,The product must comply with Sarbanes-Oxley.,product must comply sarbanes oxley
L,The product shall comply with the estimatics laws relating to recycled parts usage.,product shall comply estimatics law relating recycled part usage
L,The product shall comply with insurance regulations regarding claims processing.,product shall comply insurance regulation regarding claim processing
F, The user shall search for the preferred repair facility using vehicle  vehicle location  and radius in miles,user shall search preferred repair facility using vehicle vehicle location radius mile
F, The vehicle data shall include vehicle year  make  and model,vehicle data shall include vehicle year make model
F, The vehicle location shall include street address  city  state  and zipcode,vehicle location shall include street address city state zipcode
F, The system shall resolve the zipcode for the street address  city  and state if zipcode is unknown.,system shall resolve zipcode street address city state zipcode unknown
F,The search radius shall be between 1 and 30 miles,search radius shall mile
F,The system shall locate the preferred repair facility with the highest ratings for the input criteria,system shall locate preferred repair facility highest rating input criterion
F,The adjuster shall enter the preferred repair facility on the estimate assignment.,adjuster shall enter preferred repair facility estimate assignment
F,The adjuster shall be able to override the preferred repair facitlity on the estimate assignment.,adjuster shall able override preferred repair facitlity estimate assignment
F,The preferred repair facility shall be returned to the user.,preferred repair facility shall returned user
F,The system shall return a list of repair facilities within the radius if the preferred repair facility cannot be determined.,system shall return list repair facility within radius preferred repair facility cannot determined
F,The estimator shall search for available recycled parts using damaged vehicle parts information.,estimator shall search available recycled part using damaged vehicle part information
F,The estimator shall search for available recycled parts using a list of preferred parts suppliers.,estimator shall search available recycled part using list preferred part supplier
F,The system shall search for available recycled parts for the supplied vehicle parts and suppliers.,system shall search available recycled part supplied vehicle part supplier
F,The estimator shall search by zipcode with a radius of 30 miles if no parts are found for the preferred parts suppliers,estimator shall search zipcode radius mile part found preferred part supplier
F,The system shall retain the available recycled parts and suppliers returned from the search.,system shall retain available recycled part supplier returned search
F,The available recycled parts information and their suppliers shall be returned to the user.,available recycled part information supplier shall returned user
F,The estimator shall apply selected recycled parts to the collision estimate.,estimator shall apply selected recycled part collision estimate
F,The estimator shall not apply recycled parts to the collision estimate if no available parts are returned.,estimator shall apply recycled part collision estimate available part returned
F,The adjuster shall review the collision estimate.,adjuster shall review collision estimate
F,The adjuster shall request a recycled parts audit of the collision estimate.,adjuster shall request recycled part audit collision estimate
F,The recycled parts search results provided to the estimator shall be retrieved by the system.,recycled part search result provided estimator shall retrieved system
F,The system shall generate an audit report based on the available recycled parts and the collision estimate.,system shall generate audit report based available recycled part collision estimate
F,The audit report shall include the total number of recycled parts used in the estimate.,audit report shall include total number recycled part used estimate
F,The audit report shall include the number of available recycled parts from the original search results.,audit report shall include number available recycled part original search result
F, The audit report shall include the percentage of available recycled parts used in the estimate,audit report shall include percentage available recycled part used estimate
F,The audit report shall include the total score of the audit which sums the indivual line items.,audit report shall include total score audit sum indivual line item
F,The audit report shall be displayed to the user.,audit report shall displayed user
F,The audit report shall be available to other adjusters at later points in time.,audit report shall available adjuster later point time
F,The user shall select to view the preferred repair facility ratings.,user shall select view preferred repair facility rating
F,The current repair facility ratings shall be displayed to the user.,current repair facility rating shall displayed user
F,The system will display a blank set of ratings if there are not ratings yet defined.,system display blank set rating rating yet defined
F,The user shall enter new ratings based on the audit report,user shall enter new rating based audit report
F,The ratings shall be from a scale of 1-10,rating shall scale
F,The ratings shall include categories for attempted use of recycled parts and actual use of recycled parts,rating shall include category attempted use recycled part actual use recycled part
F,The user shall select to save the preferred repair facility ratings.,user shall select save preferred repair facility rating
F,The preferred repair facility ratings shall be saved by the system.,preferred repair facility rating shall saved system
O, The product must work with most database management systems (DBMS) on the market  whether the DBMS is colocated with the product on the same machine or is located on a different machine on the computer network.,product must work database management system dbms market whether dbms colocated product machine located different machine computer network
O,The product will function alongside server software on any operating system where the Java runtime can be installed.,product function alongside server software operating system java runtime installed
O,The product will require collaboration with a database management system (DBMS).  The DBMS may be located on the same machine as the product or on a separate machine residing on the same computer network.,product require collaboration database management system dbms dbms may located machine product separate machine residing computer network
O, The product must make use of web/application server technology.  Open source examples include Apache web server  Tomcat  and the JBoss application server.,product must make use web application server technology open source example include apache web server tomcat jboss application server
O, A database management system such as Oracle  DB2  MySql or HSQL will need to be integrated with the product.,database management system oracle db mysql hsql need integrated product
LF, The product s Look and Feel shall be able to incorporate aspects of the customer s organization such as logo  branding  and identity,product look feel shall able incorporate aspect customer organization logo branding identity
LF,The product shall have a conservative and professional appearance.,product shall conservative professional appearance
US,The product shall make the users want to use it. 80% of the users surveyed report they are regularly using the product after the first 2 weeks post-launch.,product shall make user want use user surveyed report regularly using product first week post launch
US,The product shall be easy to use. 90% of users will be able to successfully reserve a conference room within 5 minutes of product use.,product shall easy use user able successfully reserve conference room within minute product use
US,The product shall give users feedback when necessary. 80% of the users surveyed report that the product accurately confirms their actions.,product shall give user feedback necessary user surveyed report product accurately confirms action
US,The product shall allow the user to select a chosen language from one of the target market countries.,product shall allow user select chosen language one target market country
US,The product shall allow for customization of start page and views preferences.,product shall allow customization start page view preference
US, An employee will be able to successfully use the product within a few minutes.  After informally navigating the product for less than 15 minutes  users shall be able to successfully setup meetings and reserve conference rooms.,employee able successfully use product within minute informally navigating product less minute user shall able successfully setup meeting reserve conference room
US,The product shall use a standard navigation menu familiar to most web users.,product shall use standard navigation menu familiar web user
US,The product shall allow for intuitive searching of available conference rooms.,product shall allow intuitive searching available conference room
US,The product shall conform to the Americans with Disabilities Act.,product shall conform american disability act
PE,The response shall be fast enough to avoid interrupting the user s flow of thought.  90% of tasks shall complete within 5 seconds.  98% of tasks shall complete within 8 seconds.,response shall fast enough avoid interrupting user flow thought task shall complete within second task shall complete within second
A, Aside from server failure  the software product shall achieve 99.99% up time.,aside server failure software product shall achieve time
FT,The product shall create an exception log of problems encountered within the product for transmission to our company for analysis and resolution.,product shall create exception log problem encountered within product transmission company analysis resolution
SC, The product shall be capable of handling up to 1 000 concurrent requests.  This number will increase to 2 000 by Release 2.  The concurrency capacity must be able to handle peak scheduling times such as early morning and late afternoon hours.,product shall capable handling concurrent request number increase release concurrency capacity must able handle peak scheduling time early morning late afternoon hour
SC, The product shall be able to process 10 000 transactions per hour within two years of its launch.  This number will increase to 20 000 by Release 2.,product shall able process transaction per hour within two year launch number increase release
SC,The product shall be expected to operate for at least 5 years for each customer installation.,product shall expected operate least year customer installation
O,The product shall be used in office environments.,product shall used office environment
O,The product must be able to interface with any HTML browser.  The product shall transmit data between the user and the product without problems. The product shall display HTML properly in 80% of all HTML browsers tested (minimum is to test 8 browsers).,product must able interface html browser product shall transmit data user product without problem product shall display html properly html browser tested minimum test browser
O,The product must be able to interface with various database management systems. The product shall communicate successfully with the database management system on 100% of all transactions.,product must able interface various database management system product shall communicate successfully database management system transaction
O,The product must be able to interface with various email servers. The product shall be able to send email.,product must able interface various email server product shall able send email
O,The product shall be available for distribution via the Internet as a binary or ZIP file.,product shall available distribution via internet binary zip file
O,The product shall be available for distribution as a packaged CD.,product shall available distribution packaged cd
O, The product will be available for licensing as a one-server  two-five servers  or five-or-more servers license.,product available licensing one server two five server five server license
US,A new user must be able to be added to the system within 10 minutes.  90% of new users are able to log into the system within 10 minutes.,new user must able added system within minute new user able log system within minute
MN,The product must be designed using Design Patterns and coding best practices.  90% of maintenance software developers are able to integrate new functionality into the product with 2 working days.,product must designed using design pattern coding best practice maintenance software developer able integrate new functionality product working day
MN,The product must be highly configurable for use with various database management systems for the end users.  80% of end users are able to integrate new database management systems with the product without changing the product s software code.,product must highly configurable use various database management system end user end user able integrate new database management system product without changing product software code
MN,Maintenance releases will be offered to customers once a year.  The releases shall take no longer than 5 minutes for 80% of the customer base to install.,maintenance release offered customer year release shall take longer minute customer base install
US,Every registered user will have access to the product s support site via the Internet.  70% of registered users shall find a solution to their problem within 5 minutes of using the support site.,every registered user access product support site via internet registered user shall find solution problem within minute using support site
MN,The customer shall be able to easily integrate new building maps with the product throughout the product s lifecycle.  Integration of new maps with the product shall be possible with little to no support from product support staff.,customer shall able easily integrate new building map product throughout product lifecycle integration new map product shall possible little support product support staff
US, The product shall be translated into foreign languages other than the target market countries  languages in future releases.  For each emerging target market  it shall take no more than 5 days to configure the product for that market s language.,product shall translated foreign language target market country language future release emerging target market shall take day configure product market language
O, The product is expected to integrate with multiple database management systems.  The product will operate with Oracle  SQL Server  DB2  MySQL  HSQL  and MS Access.,product expected integrate multiple database management system product operate oracle sql server db mysql hsql m access
O,The product shall be able to be installed in any operating environment within 2 days.,product shall able installed operating environment within day
SE,The product shall ensure that only company employees or external users with company-approved user IDs may have product access.  100% of all logons shall be by either company employees or external users with company-approved user IDs.,product shall ensure company employee external user company approved user id may product access logons shall either company employee external user company approved user id
SE,Only managers are able to perform search queries for reservations by user.  100% of all search queries for reservations by user shall be from logons of only management logons.,manager able perform search query reservation user search query reservation user shall logons management logons
SE,The product shall ensure that the database s data corresponds to the data entered by the user.  Each conference room reservation in the system will contain the same information as was entered by the user.,product shall ensure database data corresponds data entered user conference room reservation system contain information entered user
SE,The product shall prevent the input of malicious data.  The product and/or adjacent hardware/software systems  data shall remain 100% uncorrupted each time malicious data is input into the product.,product shall prevent input malicious data product adjacent hardware software system data shall remain uncorrupted time malicious data input product
FT,The product and/or dependent databases/filesystems shall remain operational as a result of the input of malicious data.  The product and/or dependent databases/filesystems shall not crash 100% of the time that malicious data is input into the product.,product dependent database filesystems shall remain operational result input malicious data product dependent database filesystems shall crash time malicious data input product
SE,The product shall have the ability to receive automatic software updates as new threats emerge.  100% of customers will be able to receive automatic software updates transmitted to the installed product.,product shall ability receive automatic software update new threat emerge customer able receive automatic software update transmitted installed product
SC,The language of the product shall accommodate all of the target market countries. 90% of survey respondents from each target market country will find that the language of the product is acceptable.,language product shall accommodate target market country survey respondent target market country find language product acceptable
US,The product shall be able to display calendar dates and times according to the user s locale.  90% of survey respondents from each target market country will find that the date and time formatting of the product is correct.,product shall able display calendar date time according user locale survey respondent target market country find date time formatting product correct
O,The product must be developed with the J2SE/J2EE programming language libraries,product must developed j se j ee programming language library
F,The product shall record meeting entries.,product shall record meeting entry
F,The product will notify employees of meeting invitations.,product notify employee meeting invitation
F,The product shall have the ability to send meeting reminders to employees.,product shall ability send meeting reminder employee
F,The product shall assign the organizers contact information to each meeting they create.,product shall assign organizer contact information meeting create
F,The product will record meeting acknowledgements.,product record meeting acknowledgement
F,The product shall store new conference rooms.,product shall store new conference room
F,The product shall update existing conference rooms.,product shall update existing conference room
F,The product will be able to delete conference rooms.,product able delete conference room
F,The product shall be able to store new room equipment.,product shall able store new room equipment
F,The product will update existing room equipment.,product update existing room equipment
F,The product shall be able to delete room equipment.,product shall able delete room equipment
F,The product shall allow an organizer to invite other employees to meetings.,product shall allow organizer invite employee meeting
F, Each time a conference room is reserved  the conference room schedule shall be updated to reflect the time and date of the reservation.,time conference room reserved conference room schedule shall updated reflect time date reservation
F,The product shall record the transportation status of equipment reserved.,product shall record transportation status equipment reserved
F,The product shall display a map of the company building showing conference room locations.,product shall display map company building showing conference room location
F,The product shall record updated meeting agendas.,product shall record updated meeting agenda
F,The product shall send a meeting confirmation to the meeting organizer.,product shall send meeting confirmation meeting organizer
F,The product shall display room equipment according to search parameters.,product shall display room equipment according search parameter
F,The product shall display conference rooms according to search parameters.,product shall display conference room according search parameter
F,The product shall record different meeting types.,product shall record different meeting type
F,The product shall record all the equipment that has been reserved.,product shall record equipment reserved
F,The product shall notify building personnel of equipment transport requests.,product shall notify building personnel equipment transport request
F,The product will allow priviledged users to view meeting schedules in multiple reporting views.,product allow priviledged user view meeting schedule multiple reporting view
F,The product shall be able to send meeting notifications via different kinds of end-user specified methods.,product shall able send meeting notification via different kind end user specified method
F,The product shall have a customizable Look and Feel.,product shall customizable look feel
F,The product shall have an intuitive user interface.,product shall intuitive user interface
F,The product will display an available status for unreserved conference rooms.,product display available status unreserved conference room
PE,Recreation of Inventory Quantity Adjustment for the period of previous 30 days shall take no more than 30min.,recreation inventory quantity adjustment period previous day shall take min
PE,The System shall allow for a minimum of  6 users to work at the same time.,system shall allow minimum user work time
O,The System shall utilize currently owned computer equipment.,system shall utilize currently owned computer equipment
O,The System shall be able to automatically backup business data and restore them on demand.,system shall able automatically backup business data restore demand
SE,The System shall maintain consistent security.  Any changes in user passwords and/or permissions should take affect in all parts of the System.,system shall maintain consistent security change user password permission take affect part system
SE,The System shall granularly control access rights to all major subsystems.  It should be possible to assign access rights to all subsystems independently.,system shall granularly control access right major subsystem possible assign access right subsystem independently
L,The System shall meet all applicable accounting standards.  The final version of the System must successfully pass independent audit performed by a certified auditor.,system shall meet applicable accounting standard final version system must successfully pas independent audit performed certified auditor
O,The System shall not require additional third party licenses resulting in royalty fees.,system shall require additional third party license resulting royalty fee
F,The System shall allow generation of Inventory Quantity Adjustment documents on demand.,system shall allow generation inventory quantity adjustment document demand
F,The System shall allow on demand generation of all Inventory Quantity Adjustment documents since certain point of time.,system shall allow demand generation inventory quantity adjustment document since certain point time
F,The IQA subsystem shall take into account current inventory status and adjust inventory of substitutionary ingredients accordingly.,iqa subsystem shall take account current inventory status adjust inventory substitutionary ingredient accordingly
F, The System shall allow entering  storing and modifying product formulas.,system shall allow entering storing modifying product formula
F, Product formulas shall allow use of semi-products  which have own formulas.,product formula shall allow use semi product formula
F,Product formula ingredients shall allow defining substitutionary ingredients.,product formula ingredient shall allow defining substitutionary ingredient
F,Product formula substitutionary ingredients shall be entered automatically by the PFE subsystem.,product formula substitutionary ingredient shall entered automatically pfe subsystem
F,Formula substitutionary ingredients shall be kept in persisted order,formula substitutionary ingredient shall kept persisted order
F, Product shall allow entering  storing and modifying product menus used by POS terminals.,product shall allow entering storing modifying product menu used po terminal
F,PME Subsystem shall allow building product menus based on the list of products kept in the accounting system.,pme subsystem shall allow building product menu based list product kept accounting system
F,PME Subsystem shall allow keeping submenus within menus and products within submenus in a managed and persisted order.,pme subsystem shall allow keeping submenu within menu product within submenu managed persisted order
F,PME Subsystem shall allow for a product to exist in more than one submenu,pme subsystem shall allow product exist one submenu
F,The RMS System shall have Windows XP look and feel and use GUI futures making its use intuitive.,rms system shall window xp look feel use gui future making use intuitive
F,The System shall generate Inventory Quantity Adjustment document based on product daily sales data and product formulas.,system shall generate inventory quantity adjustment document based product daily sale data product formula
F,The System shall generate Inventory Quantity Adjustment document automatically when daily Product Sales data is available.,system shall generate inventory quantity adjustment document automatically daily product sale data available
PE,Administrator shall be able to activate a pre-paid card via the Administration section in under 5 seconds.,administrator shall able activate pre paid card via administration section second
PE, Customer shall be able to check the status of their prepaid card  by entering in the PIN number  in under 5 seconds.,customer shall able check status prepaid card entering pin number second
PE,System shall let customers register on the website as a  pay as you go  user in under 5 minutes.,system shall let customer register website pay go user minute
PE,System shall let customers register on the website as a  unlimited movie subscriber  user in under 10 minutes.,system shall let customer register website unlimited movie subscriber user minute
PE,System shall let existing customers log into the website with their email address and password in under 5 seconds.,system shall let existing customer log website email address password second
PE, System shall let customers cancel their account  process shall take no longer than 2 minutes.  Database will mark the account as inactive  and user will not be able to log into the website.,system shall let customer cancel account process shall take longer minute database mark account inactive user able log website
PE,System shall let administrator de-activate a customer account in under 1 minute. Customer will no longer be able to access the website.,system shall let administrator de activate customer account minute customer longer able access website
PE,System shall let administrator add/remove movies on the website in under 5 minutes.  Entered movie information will be stored in the database and will now be available on the website.,system shall let administrator add remove movie website minute entered movie information stored database available website
PE,System shall let the administrator add/remove categories on the website in under 5 minutes.,system shall let administrator add remove category website minute
PE,System shall let Izogn Manager access sales and usage statistics in under 2 minutes.,system shall let izogn manager access sale usage statistic minute
PE,System shall let administrators generate unique pre-paid pins in under 2 minutes and generate an Excel file with the generated PINs.,system shall let administrator generate unique pre paid pin minute generate excel file generated pin
LF,The website shall be attractive to all audiences.  The website shall appear to be fun and the colors should be bright and vibrant.,website shall attractive audience website shall appear fun color bright vibrant
LF, The website should have an African feel  but should not alienate non-Africans.  The website should use animation on pages which are describing the services  to grab the users attention and encourage them to sign up.,website african feel alienate non african website use animation page describing service grab user attention encourage sign
LF, The website design should be modern  clean  and concise.,website design modern clean concise
US,The product should be able to be used by 90% of novice users on the Internet.,product able used novice user internet
US, Users should only have to navigate through a maximum of 4 pages  to create an account with the website.,user navigate maximum page create account website
US,Users should be able to access their streaming movies in under 2 clicks after logging into the website.,user able access streaming movie click logging website
US,An anonymous survey will show that 70% of customers are comfortable purchasing streaming movies after 2 weeks using the website.,anonymous survey show customer comfortable purchasing streaming movie week using website
US,An anonymous survey will show that 95% of customers are comfortable using and purchasing pre-paid cards after a month of using the system.,anonymous survey show customer comfortable using purchasing pre paid card month using system
US,The product shall retain the customer s buying preferences and information.,product shall retain customer buying preference information
US,The product shall be easy for customers with novice skills on the  Internet to purchase and watch streaming movies.  Customers should be able to purchase and watch a pre-determined movie in under 3 minutes.,product shall easy customer novice skill internet purchase watch streaming movie customer able purchase watch pre determined movie minute
US,The product shall use symbols and words that are naturally understandable by users familiar with websites,product shall use symbol word naturally understandable user familiar website
US,The website will use standard Internet conventions when interacting with the user.,website use standard internet convention interacting user
PE, Any interface between a user and the automated system shall have a maximum response time of 5 seconds  unless noted by an exception below.,interface user automated system shall maximum response time second unless noted exception
PE, When purchasing a streaming movie or pre-paid card via credit card  the processing time should have a maximum response time of 15 seconds.,purchasing streaming movie pre paid card via credit card processing time maximum response time second
